Model,Current Price,Growth 1M,Growth 3M,Predition 1M,Predition 3M
A. Lange & Söhne 140.029,67016.0,0.02032551270534858,0.030397146327588064,66942.26,55430.99
A. Lange & Söhne 404.035,88667.0,0.021721094236131916,0.05592406902382965,86284.49,83044.61
Audemars Piguet 15202ST,111946.0,0.11031103705466952,0.21382256630451282,107231.45,59039.08
Audemars Piguet 15400OR,81231.0,0.06117730051732247,0.14163844110578613,56947.58,56839.31
Audemars Piguet 15500ST,70967.0,0.22644476703995575,0.47620335316387236,51047.24,49637.92
Audemars Piguet 15710ST,29346.0,0.051375752364574374,0.16300083224349066,26215.33,25918.95
Audemars Piguet 25940OK,36937.0,0.08644626154479675,0.07097915277334803,35747.7,28188.52
Audemars Piguet 26300ST,56840.0,0.10978776578089307,0.20100576837745895,42078.32,37763.03
Audemars Piguet 26331OR,109646.0,0.026657552973342446,0.10966501366258476,105411.77,104484.88
Audemars Piguet 26400IO,39575.0,0.005487944307528138,0.06059387897303961,35668.7,36947.68
Audemars Piguet 26400SO,39060.0,0.09882690522406955,0.14737244073671532,34463.31,34340.04
Audemars Piguet 26401RO,51743.0,0.002518745277352605,0.0157636435021594,48054.49,43848.02
Cartier W20072X7,5804.0,0.010445682451253482,0.09571455540872192,5563.53,5513.17
Cartier W20073X8,4518.0,0.037666513550757924,0.02892279662946937,4374.89,4085.84
Cartier W5200026,7003.0,0.011409589832466783,0.014192614047791456,7373.77,8582.57
Cartier W7100036,6890.0,0.03004933472865899,0.06179688703960549,6588.76,6597.89
Cartier WSSA0009,8741.0,0.013331787618826803,0.15652288965334746,9008.6,8903.98
Cartier WSSA0029,6438.0,0.022716441620333597,0.09919754140344886,6132.09,6089.5
Cartier WSSA0030,7617.0,-0.0007870916961826052,0.033654498575111956,7519.81,6629.63
Chopard 168565-3001,4473.0,-0.022935779816513763,-0.026974113552316728,4611.83,4619.78
IWC 377714,5049.0,-0.0138671875,0.0035778175313059034,5003.2,4507.52
IWC 500107,7395.0,-0.023246598864086646,-0.004174521949905737,7326.15,7259.95
IWC 500401,8226.0,0.0017048222113979542,0.017439703153988868,8228.53,7772.86
IWC 500705,8728.0,-0.004221334854535083,0.027790861987753178,8803.05,8680.33
IWC 501001,10045.0,-0.00682222661657109,-0.0032744592180988293,9869.51,9219.03
Omega 145.022,7551.0,0.03183930035528833,0.10572558207643871,5439.7,5515.84
Omega 210.30.42.20.03.001,4426.0,0.047326076668244205,0.04807009235140895,4350.58,4380.11
Omega 210.90.42.20.01.001,9516.0,0.009333899024183284,0.019498607242339833,9674.42,9497.31
Omega 212.30.41.20.03.001,3780.0,0.010965498796469644,0.048252911813643926,3710.89,3715.91
Omega 311.30.42.30.01.005,5113.0,-0.015215716486902928,-0.004865706500583885,5166.17,5250.61
Omega 3570.50,4470.0,0.051022807430049374,0.0436609852906841,4342.81,4361.22
Patek Philippe 5164A,109166.0,0.16792553760564888,0.3383926929442776,85553.91,92949.21
Patek Philippe 5164R,136635.0,0.13883378619413558,0.2700544700786377,119674.47,118302.95
Patek Philippe 5168G,132246.0,0.14592955244573458,0.35108958837772397,103049.24,86909.78
Patek Philippe 5205R,48066.0,0.05329359687951966,0.10417863132020859,44882.72,40082.97
Patek Philippe 5227G,30519.0,0.009459861740482255,0.013920265780730898,31084.73,30091.36
Patek Philippe 5396R,43848.0,-0.006930289441500204,0.04021066116290656,45900.7,47230.85
Patek Philippe 5524R,47077.0,0.04309580785252149,0.07794289377876491,44766.7,44270.8
Patek Philippe 57111A,182864.0,0.25728115288358405,0.5304347826086957,135280.7,131028.31
Patek Philippe 59801A,181731.0,0.17922147023898358,0.39402749225246236,139375.23,134100.55
Patek Philippe 59901A,251835.0,0.34933774834437087,0.6770775757010715,181767.23,210669.74
Rolex 114060,13877.0,0.0421297686993091,0.12055878552971576,12776.26,13205.31
Rolex 116500,46732.0,0.18865572936538216,0.33684240638498725,39318.24,39556.88
Rolex 116505,75381.0,0.13669401049520477,0.3436898395721925,50259.93,40624.81
Rolex 116518,53370.0,0.0343624629338915,0.20741142934708837,37713.92,36240.36
Rolex 116520,33927.0,0.08907935285053929,0.18294979079497908,31872.66,32021.25
Rolex 116610LV,30351.0,0.12715861403052697,0.32658770051138597,24632.62,25192.65
Rolex 126334,14440.0,0.029076396807297605,0.07280832095096583,13413.89,13457.28
Rolex 126710BLRO,29303.0,0.11753937683536098,0.2960767835817595,24674.24,26267.88
Rolex 126711CHNR,30439.0,0.11813540021305513,0.33721389974959365,22494.02,23652.52
Rolex 16710,16050.0,0.01685250886974151,0.09050142682429678,16425.06,17312.91
TAG Heuer CAY111B,1145.0,-0.021367521367521368,-0.018010291595197257,998.49,989.04
TAG Heuer CAZ1011,1297.0,-0.018168054504163512,0.09636517328825021,1316.82,1392.99
TAG Heuer CV2010,1782.0,0.01770416904625928,0.06134603930911257,1761.7,1631.92
TAG Heuer WAN2110,1289.0,0.05916187345932621,0.08501683501683502,1305.84,1283.55
TAG Heuer WAR201E,1578.0,0.06405933917734322,0.022020725388601035,1524.61,1531.24
TAG Heuer WAY201F,2205.0,0.02558139534883721,0.002728512960436562,2192.61,1935.63
TAG Heuer WAZ1120,1237.0,-0.009607686148919135,-0.004025764895330112,1013.72,1008.11
Vacheron Constantin 4500V110A-B128,49437.0,0.14647155678207835,0.3232955914237533,38122.34,34006.58
Vacheron Constantin 47040B01A-9093,15307.0,0.05123274500377721,0.08001128907076836,12722.33,12587.28
Vacheron Constantin 49150B01A-9097,24531.0,0.014725956566701138,0.0697745410143474,21757.34,19587.25
Vacheron Constantin 7900V110A-B334,38863.0,0.1647834557170688,0.17407329083713483,32525.1,25740.79
